Text,Label
"أقترح إضافة ميزة جديدة للتطبيق","شكرًا على اقتراحك، ممكن تشرحلي الميزة اللي بتفكري فيها؟"
"التطبيق تحسن كثيرًا عن النسخة القديمة","فرحانين إنك لاحظتي التحسن! عايزة تعرفي عن التحديثات الجديدة؟"
"السعر مرتفع جدًا مقارنة بالجودة","آسف على احساسك ده، هنشتغل على تحسين الجودة أو عمل عروض قريب."
"كيف يمكنني تتبع طلبيتي؟","ممكن تتبعي طلبيتك من خلال رابط التتبع اللي بعتناه على الإيميل، أو أديني رقم الطلب وأساعدك."
"المنتج ده متوفر بألوان تانية؟","أيوه، المنتج متوفر بألوان الأحمر والأزرق والأسود. عايزة أساعدك تختاري؟"
"أنا محبط جدًا من تجربة الشراء","آسف جدًا على تجربتك، ممكن تشرحلي إيه اللي حصل عشان نحل المشكلة؟"
"وااو، المنتج ده رائع جدًا!","أنا مبسوط إن المنتج عجبك! عايز تعرف عن منتجات تانية مشابهة؟"
"التوصيل كان سريع جدًا، شكرًا","شكرًا على رأيك، سعيدين بخدمتك!"
"الدعم الفني رد بعد يومين، سيء جدًا","آسف جدًا على التأخير، ممكن تكلّميني دلوقتي وأساعدك؟"
"أريد استرجاع المبلغ بسبب التأخير","آسف على التأخير، ممكن ترسلي رقم الطلب وهنرتب استرجاع المبلغ؟"
"الخدمة جيدة بس فيه مجال للتحسين","شكرًا على رأيك، ممكن تقوليلي إيه اللي محتاج تحسين عشان نركّز عليه؟"
"ممكن تضيفوا خصومات على المنتجات؟","فكرة حلوة، هنحطها في الحسبان. عايزة تعرفي عن العروض الحالية؟"
"المنتج ده معمول من إيه؟","المنتج مصنوع من القطن 100%، وفيه طبقة مقاومة للمياه. عايزة تفاصيل أكتر؟"
"التطبيق بيعلّق كتير، لازم تحلوا المشكلة","آسف على المشكلة، ممكن تقوليلي إيه اللي بيحصل بالظبط عشان نحلها؟"
"أنا مبسوط جدًا بالخدمة","شكرًا على كلامك الجميل، سعيدين بخدمتك!"
"كان نفسي المنتج يكون أحسن من كده","آسف على تجربتك، ممكن تقوليلي إيه اللي ما عجبكيش عشان نطوره؟"
"شكرًا على الرد السريع","العفو، دايمًا في الخدمة!"
"السعر مناسب جدًا للجودة","فرحانين إن السعر عجبك! عايزة تشوفي منتجات تانية؟"
"التجربة كانت عادية، ما فيهاش حاجة مميزة","شكرًا على رأيك، هنحاول نضيف حاجات مميزة في المستقبل."
"ممكن تسرّعوا في التوصيل المرة الجاية؟","أكيد، هنحاول نركّز على تسريع التوصيل. شكرًا على ملاحظتك."
"المنتج وصل ناقص، أرجو التعويض","آسف جدًا على المشكلة، ممكن ترسلي رقم الطلب وصورة للمنتج عشان نعوضك؟"
"كيف أقدر أغيّر عنوان التوصيل؟","ممكن تغيّري عنوان التوصيل من حسابك على الموقع، أو أديني رقم الطلب وأساعدك."
"المنتج ده ممتاز، هجيب واحد تاني","فرحانين إن المنتج عجبك! عايزة أساعدك تختاري منتج تاني؟"
"الخدمة كانت سيئة، مش هكرر التجربة","آسف جدًا على تجربتك، ممكن تقوليلي إيه اللي حصل عشان نحسن الخدمة؟"
"أنا محتار بين منتجين، ممكن مساعدة؟","أكيد، ممكن تقوليلي أسماء المنتجين وأساعدك تختاري؟"
"كان نفسي ألاقي دعم أفضل","آسف على التجربة، ممكن تكلّميني دلوقتي وأساعدك؟"
"التطبيق سهل جدًا، أحسنتم","شكرًا على رأيك الجميل، سعيدين إن التطبيق عجبك!"
"فيه مشكلة في الفاتورة، ممكن تتأكدوا؟","آسف على المشكلة، ممكن ترسلي رقم الطلب ونتأكد من الفاتورة؟"
"شكرًا على الهدية مع الطلب","العفو، دايمًا في الخدمة!"
"التوصيل كان في الموعد، ممتاز","شكرًا على رأيك، سعيدين بخدمتك!"
"المنتج ما بيشتغلش، أريد حلاً","آسف على المشكلة، ممكن ترسلي تفاصيل أكتر عن المشكلة وأساعدك؟"
"ممكن تضيفوا خاصية الدفع عند الاستلام؟","فكرة حلوة، هنحطها في الحسبان. شكرًا على اقتراحك!"
"المنتج ده مناسب للأطفال؟","المنتج ده مناسب للأطفال فوق 3 سنين. عايزة تفاصيل أكتر؟"
"التجربة كانت مقبولة، مش أكتر","شكرًا على رأيك، هنحاول نطور الخدمة عشان تكون أحسن."
"أنا مستاء من جودة المنتج","آسف على تجربتك، ممكن تقوليلي إيه المشكلة في الجودة عشان نحلها؟"
"الخدمة كانت رائعة، استمروا","شكرًا على كلامك الجميل، هنستمر في تقديم الأفضل!"
"ممكن تعملوا عروض على المنتجات الجديدة؟","أكيد، هنحط عروض قريب. عايزة تعرفي عن المنتجات الجديدة؟"
"فيه مشكلة في التطبيق، بيطلعني برا فجأة","آسف على المشكلة، ممكن تشرحيلي إيه اللي بيحصل بالظبط؟"
"المنتج وصل بسرعة، أحسنتم","شكرًا على رأيك، سعيدين بخدمتك!"
"كيف أقدر أعرف إذا كان الطلب اترسل ولا لأ؟","ممكن تتأكدي من حالة الطلب من رابط التتبع، أو أديني رقم الطلب وأساعدك."
"التجربة كانت مخيبة للآمال","آسف جدًا على تجربتك، ممكن تشرحيلي إيه اللي حصل عشان نحسن؟"
"المنتج ده تحفة، هيخلّي حياتي أسهل","فرحانين إن المنتج عجبك! عايزة تعرفي عن ميزاته أكتر؟"
"الدعم الفني ساعدني بسرعة، شكرًا","العفو، دايمًا في الخدمة!"
"السعر غالي جدًا مقارنة بالمنافسين","آسف على احساسك ده، ممكن تقارني بالجودة وتشوفي الفرق؟"
"ممكن تحطوا فيديوهات توضيحية للمنتجات؟","فكرة حلوة، هنحطها في الحسبان. شكرًا على اقتراحك!"
"المنتج شكله مختلف عن الصورة","آسف على المشكلة، ممكن ترسلي صورة للمنتج ونتأكد؟"
"ما فيهاش فرق كبير عن النسخة القديمة","شكرًا على ملاحظتك، هنحاول نضيف تحسينات أكتر في النسخة الجاية."
"أنا سعيد جدًا بالشراء","فرحانين بخدمتك! عايز تشوف منتجات تانية؟"
"التوصيل كان سريع، لكن العلبة تالفة","آسف على المشكلة، ممكن ترسلي صورة للعلبة ونعوضك؟"
"ممكن تشرحولي كيف أستخدم المنتج؟","أكيد، المنتج بيشتغل كده... (شرح بسيط). عايزة تفاصيل أكتر؟"
"المنتج ده رائع، أحلى حاجة اشتريتها!","شكرًا على كلامك الجميل! عايزة تشوفي منتجات مشابهة؟"
"الخدمة كانت سيئة جدًا، مش هكررها","آسف جدًا على تجربتك، ممكن تقوليلي إيه اللي حصل عشان نحسن؟"
"شكرًا على التوصيل في الوقت","العفو، سعيدين بخدمتك!"
"فيه مشكلة في الدفع، ممكن تساعدوني؟","آسف على المشكلة، ممكن تشرحيلي المشكلة في الدفع وأساعدك؟"
"ممكن تعملوا خصم للعملاء الدائمين؟","فكرة حلوة، هنحطها في الحسبان. عايزة تعرفي عن العروض الحالية؟"
"التجربة كانت عادية، ما فيهاش جديد","شكرًا على رأيك، هنحاول نضيف حاجات جديدة قريب."
"المنتج ده ممتاز، أنصح الكل يشتريه","فرحانين إن المنتج عجبك! شكرًا على التوصية."
"التوصيل تأخر أسبوع كامل!","آسف جدًا على التأخير، ممكن ترسلي رقم الطلب ونشوف إيه اللي حصل؟"
"كيف أقدر أتواصل مع خدمة العملاء؟","ممكن تتواصلي معانا على الإيميل support@company.com أو تكلّميني دلوقتي."
"التجربة كانت محبطة جدًا","آسف على تجربتك، ممكن تشرحيلي إيه اللي حصل عشان نحسن؟"
"أنا مبسوط جدًا بالمنتج الجديد","شكرًا على كلامك الجميل! عايز تعرف عن ميزاته أكتر؟"
"شكرًا على التعامل الراقي","العفو، دايمًا في الخدمة!"
"المنتج كويس، بس التغليف سيء","آسف على مشكلة التغليف، هنحسنها المرة الجاية."
"ممكن تعملوا شحن مجاني المرة الجاية؟","فكرة حلوة، هنحطها في الحسبان. شكرًا على اقتراحك!"
"فيه مشكلة في الطلب، أرجو الحل بسرعة","آسف على المشكلة، ممكن ترسلي رقم الطلب ونحلها على طول؟"
"المنتج وصلني ناقص قطعة","آسف جدًا على المشكلة، ممكن ترسلي رقم الطلب وصورة للمنتج؟"
"الخدمة ممتازة، أستمروا","شكرًا على كلامك الجميل، هنستمر في تقديم الأفضل!"
"السعر مرتفع جدًا، ما يستاهلش","آسف على احساسك ده، ممكن تشوفي منتجات تانية بسعر أنسب؟"
"كيف أعرف مواصفات المنتج بالتفصيل؟","مواصفات المنتج موجودة على الموقع، أو ممكن أشرحهالك دلوقتي."
"التجربة كانت عادية جدًا","شكرًا على رأيك، هنحاول نطور الخدمة عشان تكون أحسن."
"المنتج ده رائع، هيغيّر حياتي!","فرحانين إن المنتج عجبك! عايزة تعرفي عن منتجات مشابهة؟"
"أنا محبط من مستوى الخدمة","آسف على تجربتك، ممكن تشرحيلي إيه اللي حصل عشان نحسن؟"
"شكرًا على الخدمة الممتازة","العفو، سعيدين بخدمتك!"
"ممكن تعملوا خصومات على المنتجات القديمة؟","أكيد، هنحط عروض قريب. عايزة تعرفي عن المنتجات القديمة؟"
"فيه مشكلة في التطبيق، بيعلّق كتير","آسف على المشكلة، ممكن تشرحيلي إيه اللي بيحصل وأساعدك؟"
"المنتج وصلني في الوقت، ممتاز","شكرًا على رأيك، سعيدين بخدمتك!"
"صباح الخير","صباح الفل يا شمس! أتمنى يكون يومك جميل ومليان طاقة إيجابية 🌞"
"مساء الخير","مساء النور يا شمس! لو محتاج أي حاجة أنا هنا في خدمتك."
"إزيك","أنا تمام طالما انت بخير، عامل إيه يا شمس؟"
"عامل إيه؟","بخير والحمد لله، وأنت يا شمس؟ أخبارك إيه؟"
"كيف حالك؟","أنا كويس، يسعدني دايمًا أسمع صوتك يا شمس 😊"
"هل تعرفني؟","أكيد أعرفك! إنت شمس A، طالب في كلية الهندسة، وبتحب الهدوء والبعد عن الزحمة 😊"
"إنت مين؟","أنا مساعدك الذكي، دايمًا هنا علشان أساعدك يا شمس في أي سؤال أو استفسار."
"مين شمس؟","شمس A، طالب ذكي في كلية الهندسة، طموح وبيحب يتعلم ويطور نفسه في البرمجة 💻"
"يا شات، أنا مين؟","إنت شمس A، شخص هادئ ومجتهد في طريقه إنه يكون .NET Full Stack Developer محترف!"
"أخبار الدراسة؟","أكيد شغال عليها زي ما أعرفك دايمًا بتحب تكون مركز، خصوصًا في المشاريع اللي بتشتغل عليها 😉"
